Spanish,English
parte,part
historia,history
buscar,search
solamente,only
policía,police
amigo,friend
familia,family
cielo,sky
amor,love
trabajo,work
casa,house
libro,book
niño,child
comida,food
felicidad,happiness
agua,water
fuego,fire
tierra,earth
aire,air
música,music
viaje,travel
sueño,dream
idea,idea
noche,night
día,day
sol,sun
luna,moon
estrella,star
playa,beach
montaña,mountain
bosque,forest
río,river
mar,sea
ciudad,city
pueblo,town
calle,street
camino,road
puerta,door
ventana,window
pared,wall
techo,roof
suelo,floor
mundo,world
vida,life
muerte,death
salud,health
enfermedad,illness
medicina,medicine
doctor,doctor
paciente,patient
hospital,hospital
escuela,school
universidad,university
profesor,teacher
estudiante,student
lección,lesson
clase,class
examen,exam
respuesta,answer
pregunta,question
computadora,computer
teléfono,phone
internet,internet
red,network
programa,program
juego,game
deporte,sport
equipo,team
jugador,player
partido,match
gol,goal
victoria,victory
derrota,defeat
empate,draw
competencia,competition
campeón,champion
carrera,race
tiempo,time
hora,hour
minuto,minute
segundo,second
mañana,morning
tarde,afternoon
noche,night
ayer,yesterday
hoy,today
mañana,tomorrow
semana,week
mes,month
año,year
década,decade
siglo,century
milenio,millennium
pasado,past
presente,present
futuro,future
memoria,memory
recuerdo,remembrance
experiencia,experience
conocimiento,knowledge
sabiduría,wisdom
inteligencia,intelligence
razón,reason
emoción,emotion
sentimiento,feeling
amor,love
odio,hatred
alegría,joy
tristeza,sadness
miedo,fear
valentía,courage
esperanza,hope
desesperación,despair
paz,peace
guerra,war
conflicto,conflict
batalla,battle
victoria,victory
derrota,defeat
acuerdo,agreement
pacto,pact
alianza,alliance
enemigo,enemy
amigo,friend
vecino,neighbor
conocido,acquaintance
extraño,stranger
sociedad,society
comunidad,community
cultura,culture
civilización,civilization
nación,nation
país,country
estado,state
ciudad,city
pueblo,town
región,region
territorio,territory
frontera,border
mapa,map
bandera,flag
himno,anthem
patria,homeland
gobierno,government
ley,law
justicia,justice
derecho,right
libertad,freedom
igualdad,equality
fraternidad,fraternity
democracia,democracy
dictadura,dictatorship
monarquía,monarchy
república,republic
presidente,president
rey,king
reina,queen
ministro,minister
parlamento,parliament
congreso,congress
senado,senate
diputado,deputy
elección,election
voto,vote
partido,party
política,politics
campaña,campaign
discurso,speech
debate,debate
propuesta,proposal
reforma,reform
revolución,revolution
cambio,change
progreso,progress
desarrollo,development
crecimiento,growth
avance,advance
innovación,innovation
tecnología,technology
ciencia,science
